發病日,居住縣市,居住鄉鎮,確定病例數
2023-08-25,台南市,麻豆區,1
2023-08-25,桃園市,蘆竹區,1
2023-08-25,桃園市,龍潭區,1
2023-08-25,雲林縣,古坑鄉,3
2023-08-25,雲林縣,斗六市,3
2023-08-25,雲林縣,西螺鎮,1
2023-08-25,高雄市,三民區,3
2023-08-25,高雄市,大寮區,4
2023-08-25,高雄市,苓雅區,1
2023-08-26,台北市,中山區,1
2023-08-26,台北市,北投區,1
2023-08-26,台南市,中西區,6
2023-08-26,台南市,仁德區,2
2023-08-26,台南市,北區,12
2023-08-26,台南市,南區,13
2023-08-26,台南市,安南區,37
2023-08-26,台南市,安定區,1
2023-08-26,台南市,安平區,2
2023-08-26,台南市,東區,27
2023-08-26,台南市,歸仁區,4
2023-08-26,台南市,永康區,25
2023-08-26,台南市,關廟區,1
2023-08-26,台南市,鹽水區,1
2023-08-26,嘉義縣,太保市,1
2023-08-26,屏東縣,萬丹鄉,1
2023-08-26,新北市,永和區,1
2023-08-26,新竹市,香山區,1
2023-08-26,桃園市,中壢區,1
2023-08-26,雲林縣,古坑鄉,3
2023-08-26,高雄市,仁武區,1
2023-08-26,高雄市,大寮區,1
2023-08-26,高雄市,小港區,1
2023-08-26,高雄市,苓雅區,1
2023-08-27,台北市,北投區,1
2023-08-27,台南市,中西區,11
2023-08-27,台南市,仁德區,1
2023-08-27,台南市,北區,11
2023-08-27,台南市,南區,20
2023-08-27,台南市,安南區,32
2023-08-27,台南市,官田區,1
2023-08-27,台南市,東區,25
2023-08-27,台南市,歸仁區,1
2023-08-27,台南市,永康區,15
2023-08-27,台南市,關廟區,2
2023-08-27,彰化縣,二林鎮,1
2023-08-27,雲林縣,古坑鄉,4
2023-08-27,高雄市,大寮區,6
2023-08-27,高雄市,楠梓區,1
2023-08-28,台南市,中西區,8
2023-08-28,台南市,仁德區,4
2023-08-28,台南市,北區,14
2023-08-28,台南市,南區,22
2023-08-28,台南市,安南區,40
2023-08-28,台南市,安平區,4
2023-08-28,台南市,東區,40
2023-08-28,台南市,歸仁區,1
2023-08-28,台南市,永康區,18
2023-08-28,台南市,關廟區,3
2023-08-28,嘉義市,東區,1
2023-08-28,屏東縣,屏東市,1
2023-08-28,新北市,新莊區,1
2023-08-28,雲林縣,古坑鄉,7
2023-08-28,雲林縣,斗六市,1
